Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex
ФИО (можно псевдоним), либо ник, по которому Вас узнают волонтёры;0;0;0;;
Контактый номер телефона в формате 8-999-999-99-99;0;0;1;;^((8|\+7)[\- ]?)?(\(?\d{3}\)?[\- ]?)?[\d\- ]{7,10}$
Год рождения — например, 1982 (нужен только год рождения, а не дата);0;0;0;;^\d{4}$
В каком населённом пункте Вы сейчас находитесь?;0;0;0;;
Откуда Вы прибыли?;0;0;0;;
"Где Вы сейчас (укажите номер пункта):
1 - у себя дома
2 - в пункте временного размещения (ПВР)
3 - у знакомых/родственников
4 - арендую жильё
5 - покинул(а) своё жильё, ищу, где остановиться ";0;0;0;;^[12345]$
Сколько человек с Вами (если Вы заполните эту анкету, то им заполнять не нужно!);0;0;0;;^\d+$
Сколько несовершеннолетних с Вами, их возраст (заполнить нужно только одному из взрослых);0;0;0;;
Есть ли острая необходимость в продуктах питания (если есть, то что именно нужно и в каком количестве);0;0;0;;
Есть ли острая необходимость в средствах личной гигиены и бытовой химии (если есть, то что именно нужно и в каком количестве);0;0;0;;
Есть ли острая необходимость в посуде и кухонных принадлежностях (если есть, то что именно нужно и в каком количестве);0;0;0;;
Есть ли острая необходимость в постельном белье, подушке, одеяле, пледе, полотенцах (если есть, то что именно нужно и в каком количестве);0;0;0;;
Есть ли острая необходимость в чём-то, что не было указано выше (если есть, то что именно нужно и в каком количестве);0;0;0;;
