Text;Group;IsGroupSwitch;DuplicateCheck;Category;AutopassMode;ValidationRegex
"Здравствуйте! Эта анкета поможет оформить запрос на первичную гуманитарную помощь. Если вы представитель семьи, то на каждого члена семьи надо оформить отдельную заявку с выданным номером.
Заполняя анкету, Вы даете согласие на обработку введенных Вами персональных данных.";0;0;0;;1;
Введите номер заявки, выданный вам администратором (в формате 189 или 189-2);0;0;1;;0;^\d+$|^(\d+-\d+)$
Контактный номер телефона в формате 8-999-999-99-99;0;0;1;;0;^((8|\+7)[\- ]?)?(\(?\d{3}\)?[\- ]?)?[\d\- ]{7,10}$
Ваши ФИО;0;0;1;;0;^[а-яА-Яa-zA-ZёЁ\-]+ ?[а-яА-Яa-zA-ZёЁ\-]* ?[а-яА-Яa-zA-ZёЁ\-]*$
Откуда вы о нас узнали?;0;0;0;;0;
Можете ли сами приехать на склад и забрать заказ? Если нет, укажите адрес проживания.;0;0;0;;0;
За кого подаете заявку? Укажите за себя или за какого члена семьи.;0;0;0;;0;
Вся информация ниже указывается для того, за кого вы заполняете заявку;0;0;0;;1;
Год рождения (в формате: 2022);0;0;0;;0;^\d{4}$
Пол (М/Ж);0;0;0;;0;^[Мм]$|^[Жж]$
Укажите рост в см;0;0;0;;0;
Укажите свои потребности, используя меню;0;0;0;;1;
"Размер верхней одежды, например:
XS (Ж 42; М 44)
S (Ж 44; М 46)
M (Ж 46; М 48)
L (Ж 48; М 50)
XL (Ж 50; М 52)
XXL (Ж 52; М 54-56)
3XL (Ж 54; М 58-60)
Другой (укажите)";0;0;0;Одежда и обувь->Верхняя одежда;0;
Что нужно из верхней одежды (при необходимости уточните размеры);0;0;0;Одежда и обувь->Верхняя одежда;0;
Что нужно из зимних вещей (шапки, перчатки и т.д.), с размерами;0;0;0;Одежда и обувь->Теплые вещи;0;
"Размер повседневной одежды, например:
XS (Ж 42; М 44)
S (Ж 44; М 46)
M (Ж 46; М 48)
L (Ж 48; М 50)
XL (Ж 50; М 52)
XXL (Ж 52; М 54-56)
3XL (Ж 54; М 58-60)
Другой (укажите)";0;0;0;Одежда и обувь->Повседневная одежда;0;
Что нужно из повседневной одежды (при необходимости уточните размер, обхват и т.д.);0;0;0;Одежда и обувь->Повседневная одежда;0;
Что нужно из нижнее белья, с размерами;0;0;0;Одежда и обувь->Нижнее бельё;0;
"Размер обуви, например:
36
37
38
39
40
41
42
43
Другой (укажите)";0;0;0;Одежда и обувь->Обувь->Размер;0;
Что нужно из уличной обуви (при необходимости уточните размер, подъем и т.д.);0;0;0;Одежда и обувь->Обувь->Сезонная обувь;0;
Что нужно из домашней обуви (при необходимости уточните размер, подъем и т.д.);0;0;0;Одежда и обувь->Обувь->Домашняя обувь;0;
Что нужно из офисной обуви (при необходимости уточните размер, подъем и т.д.);0;0;0;Одежда и обувь->Обувь->Офисная обувь;0;
Что нужно из детской обуви (при необходимости уточните размер);0;0;0;Одежда и обувь->Обувь->Детская обувь;0;
Какая еще обувь/тапки нужны (при необходимости уточните размер);0;0;0;Одежда и обувь->Обувь->Другое;0;
Что нужно из средств гигиены, количество;0;0;0;Средства гигиены;0;
Какая нужна посуда для приготовления пищи и количество;0;0;0;Посуда->Приготовление пищи;0;
Какая нужна посуда для приема пищи и количество;0;0;0;Посуда->Прием пищи;0;
Сколько нужно подушек;0;0;0;Текстиль, подушки->Подушки;0;
Размеры (1.5-, 2-спальные) и количество одеял;0;0;0;Текстиль, подушки->Одеяла и пледы;0;
Размеры и количество постельного белья;0;0;0;Текстиль, подушки->Постельное белье;0;
Какой нужен текстиль и количество (скатерти, шторы, полотенца);0;0;0;Текстиль, подушки->Домашний текстиль;0;
Что нужно для детей (книги, игрушки, творчество, настольные игры, канцелярия);0;0;0;Дети;0;
Прочие вещи, количество;0;0;0;Прочее;0;
