Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex;AutopassMode
ФИО (можно псевдоним), либо ник, по которому Вас узнают волонтёры;0;0;1;;^[а-яА-Яa-zA-ZёЁ\-]+ ?[а-яА-Яa-zA-ZёЁ\-]* ?[а-яА-Яa-zA-ZёЁ\-]*$;0
"Вы уже заполняли заявку через этого бота? (Да/Нет)
Если да - заполняйте только новые (или повторившиеся) потребности, не дублируя то, что было в прошлых заявках";0;0;0;;;2
Год рождения — например, 1982 (нужен только год рождения, а не дата);0;0;0;;^\d{4}$;0
ЭТОТ БОТ ТОЛЬКО ДЛЯ ВОРОНЕЖСКОЙ ОБЛАСТИ!";0;0;1;;[Вв]оронеж[а-яА-Яa-zA-ZёЁ\-]*[^а-яА-Яa-zA-ZёЁ\-]+.*[а-яА-Яa-zA-ZёЁ\-]+.*\s*.*\s*.*\s*.*\s*.*\s*\d;0
Контактый номер телефона в формате 8-999-999-99-99;0;0;1;;^((8|\+7)[\- ]?)?(\(?\d{3}\)?[\- ]?)?[\d\- ]{7,10}$;0
Откуда вы прибыли (область, район, город, наименование населенного пункта);0;0;0;;;0
Дата прибытия (из миграционной карты) в формате 01.01.2022;0;0;0;;^\d{2}\.\d{2}\.\d{4}$;0
"Сейчас имеете жильё: 
*А* - арендное или 
*З* - проживаете у знакомых/родственников, или 
*П* - в пункте временного размещения переселенцев?
";0;0;0;;;0
Количество несовершеннолетних, прибывших с вами, и их возраст (заполняется только одним из взрослых, с кем прибыли дети);0;0;0;;;0
Сколько на данный момент всего человек проживает с вами;0;0;0;;;0
Есть ли животные, которые прибыли с вами (название, порода, количество животных);0;0;0;;;0
Какая у вас основная специальность? Если вы умеете что-то помимо основной специальности и готовы этим заниматься, укажите, пожалуйста;0;0;0;;;0
Если есть необходимость в одежде для взрослых, укажите, что именно, пол, размер;0;0;0;;;0
Если есть необходимость в обуви для взрослых, укажите, что именно, пол, размер;0;0;0;;;0
Если есть необходимость в одежде для детей, укажите, что именно, пол, размер;0;0;0;;;0
Если есть необходимость в обуви для детей, укажите, что именно, пол, размер;0;0;0;;;0
Какая есть необходимость в лекарственных препаратах;0;0;0;;;0
Есть ли лекарственные препараты, которые необходимо принимать на постоянной основе;0;0;0;;;0
Какая есть острая необходимость в средствах личной гигиены и бытовой химии;0;0;0;;;0
Какая есть острая необходимость в посуде и кухонных принадлежностях;0;0;0;;;0
Есть ли необходимость в постельном белье, подушке, одеяле, пледе, полотенцах (с указанием названия и количества);0;0;0;;;0
В чём у вас есть необходимость, что не было указано выше?;0;0;0;;;0
"Спасибо! Ваша анкета отправлена команде волонтёров Воронежа «Сердце волонтёра» https://t.me/serdce_volontera";0;0;0;;;3
