Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex
ФИО ребенка;0;0;0;;^[а-яА-Яa-zA-ZёЁ\-]+ ?[а-яА-Яa-zA-ZёЁ\-]* ?[а-яА-Яa-zA-ZёЁ\-]*$
Ваш адрес;0;0;0;;
Ваш контактный телефон ;0;0;0;;
Откуда приехала семья;0;0;0;;
В какую школу / детский сад пойдет ребенок;0;0;0;;
Какой класс/ группа;0;0;0;;
Пол ребенка;0;0;0;;
Возраст ребенка;0;0;0;;
Размер одежды;0;0;0;;
В чем именно из одеждый нуждается ребенок;0;0;0;;
Размер обуви;0;0;0;;
В какой обуви нуждается ребенок;0;0;0;;
Какие  канцтовары необходимы. Напишите наименование и колличество;0;0;0;;
Есть ли необходимость в рюкзаке или сумке;0;0;0;;
Что ещё дополнительно нужно для школы/ детского сада, чего не указано выше;0;0;0;;
Напишите пожелание волонтёрам , а мы постараемся помочь;0;0;0;;
