Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex;AutopassMode
"Мы оказываем помощь только в Москве и Московской области, только при предъявлении документов, подтверждающих, что Вы приехали из присоединённых территорий или Украины после 24.02.2022.";0;0;0;;;2
Проживаете в Москве или Московской области?;0;0;0;;;0
На выдаче готов предоставить документы, подтверждающие, что я приехал из присоединённых территорий или Украины после 24.02.2022?[Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
ФИО ребёнка;0;0;1;;^[а-яА-Яa-zA-ZёЁ\-]+ ?[а-яА-Яa-zA-ZёЁ\-]* ?[а-яА-Яa-zA-ZёЁ\-]*$;0
Мальчик/девочка;0;0;0;;;0
В какой класс пойдёт в 2023-24 учебном году;0;0;0;;;0
Рост и размер ноги ребёнка;0;0;0;;;0
Ваш район проживания или ближайший районный центр (название города);0;0;0;;;0
Согласен приехать в Москву на выдачу? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется набор канцелярии? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется школьная форма или особая школьная форма (если в школе требуют не однотонную форму синего, чёрного цвета, то нужно написать, например, синяя в красную клетку/зелёная...)?;0;0;0;;;0
Требуется портфель для 1-4 класса? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется рюкзак для 5-11 класса? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется мешок для сменки? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется форма на физкультуру (белая футболка и черные шорты)? *БЕЗ ГАРАНТИЙ* [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется рабочее место школьника? *БЕЗ ГАРАНТИЙ* [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется настольная лампа? *БЕЗ ГАРАНТИЙ* [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется cменная обувь - туфли для девочки? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется cменная обувь - кроссовки для девочки? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется cменная обувь - кроссовки для девочки? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется cменная обувь - ботинки для мальчика? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Требуется cменная обувь - кроссовки для мальчика? [Да\Нет];0;0;0;;^[ДдАаНнЕеТтСсОоГгЛл]+$;0
Есть ли у Вас заявка, по которой ещё не были в штабе? Если да, то её номер;0;0;0;;;0
"Предварительно, когда удобнее приехать за помощью:
А) 1-15 августа
Б) 15-30 августа
В) 1-15 сентября
Г) Буду иметь возможность приехать в любое время.";0;0;0;;^[АаБбВвГгAaBb]+$;0
Напишите, если у Вас есть какие-то дополнительные уточнения или особые просьбы;0;0;0;;;0
"Спасибо, мы приняли Вашу заявку. Вам помогает команда волонтёров https://t.me/NEED2HELP
Мы оказываем помощь только в Москве и Московской области.
Если вы в Белгородской области, попробуйте обратиться в Центр помощи Юлии Немчиновой https://t.me/centrJN
Если вы в другом регионе, попробуйте найти подходящую группу в Навигаторе по группам бесплатной помощи https://t.me/navigatorRf";0;0;0;;;3
