Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex
"Какое Ваше имя/ник?
---
Заполняя анкету, Вы даете согласие на на обработку введенных Вами персональных данных (имя, телефон)
---
К сожалению, мы не можем принимать одежду и обувь (нет помещения и людей для сортировки и подбора). 
В Белгороде отвозите их, пожалуйста, в Марфо-Мариинский монастырь (ул. Пушкина 19), соц. защиту (ул. Королёва 8), Добромаркет ""Черешня"" (ул. Архиерейская 8) или Красный Крест (пр-т Богдана Хмельницкого 181)";0;0;1;;
Контактый номер телефона в формате 8-999-999-99-99;0;0;1;;^((8|\+7)[\- ]?)?(\(?\d{3}\)?[\- ]?)?[\d\- ]{7,10}$
В каком городе вы находитесь?;0;0;0;;
Можете ли предоставить жилье?;1;1;0;;
"Какой тип жилья можете предоставить?
К - квартиру или
Д - дом, или
М - комнату";1;0;0;;[Кк]|[Дд]|[Мм]
В каком населенном пункте?;1;0;0;;
Сколько человек могут там проживать?;1;0;0;;
Другие комментарии по предоставлению жилья:;1;0;0;;
Можете ли предоставить работу?;2;1;0;;
По каким вакансиям?;2;0;0;;
Можете ли предоставить моющие средства, предметы гигиены?;3;1;0;;
Укажите, пожалуйста, какие/сколько моющие средства и предметы гигиены можете предоставить?;3;0;0;;
Можете ли предоставить продукты?;4;1;0;;
Укажите, пожалуйста, какие/сколько продуктов можете предоставить?;4;0;0;;
Можете ли предоставить постельное белье?;5;1;0;;
Укажите, пожалуйста, какое/сколько постельного белья можете предоставить?;5;0;0;;
Можете ли предоставить посуду?;6;1;0;;
Укажите, пожалуйста, какую/сколько посуды можете предоставить?;6;0;0;;
Можете ли помочь с развозом адресной гумантирной помощи (если есть авто)?;7;1;0;;
Комментарии по возможности развоза гумантирной помощи:;7;0;0;;
Можете ли помочь с доставкой людей (если есть авто)?;8;1;0;;
Комментарии по возможности доставки людей:;8;0;0;;
Можете ли помогать волонтерам на складе с гуманитарной помощью?;9;1;0;;
В какое время можете помогать на складе?;9;0;0;;
Можете ли предоставить какие-либо детские принадлежности?;10;1;0;;
Укажите, пожалуйста, какие/сколько детские принадлежности можете предоставить (например, коляска/кроватка/манеж/портфель/игрушки/самокат/велосипед и т.п.)?;10;0;0;;
Можете ли предоставить бесплатную юридическую помощь?;11;1;0;;
Можете ли предоставить бесплатную медицинскую помощь детям/взрослым/животным?;12;1;0;;
Какую именно медицинскую помощь и кому (детям/взрослым/животным) можете предоставить?;12;0;0;;
Можете ли предоставить бесплатную психологическую помощь?;13;1;0;;
Можете ли предоставить иную бесплатную помощь - услуги (образовательные, развлекательные, экскурсионные и т.п.)?;14;1;0;;
Напишите, пожалуйста, какие это услуги:;14;0;0;;
Сможете вы самостоятельно привезти гуманитарную помощь на склад?;15;1;0;;
"Спасибо! Помните, что мы не волшебники, мы еще только учимся )

Что бы Вы хотели добавить?
Возможно, могли бы оказать какую-то помощь беженцам, не перечисленную в вопросах?";0;0;0;;
