Text;Group;IsGroupSwitch;DuplicateCheck;Category;ValidationRegex
"Заполняя анкету, Вы даете свое согласие на обработку введенных Вами персональных данных.
*Ваше ФИО:*";0;0;1;;^[а-яА-Яa-zA-Z]+ ?[а-яА-Яa-zA-Z]* ?[а-яА-Яa-zA-Z]*$
Дата Вашего рождения (в формате _31.12.1999_);0;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Контактый номер телефона (в формате _8-999-999-99-99_);0;0;1;;^((8|\+7)[\- ]?)?(\(?\d{3}\)?[\- ]?)?[\d\- ]{7,10}$
Адрес Вашего текущего проживания (область, район, город, нас.пункт, улица, дом, квартира);0;0;0;;
Откуда Вы прибыли (область, район, город, нас.пункт, улица, дом, квартира)?;0;0;0;;
Дата прибытия (в формате _31.12.2022_);0;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Цель прибытия (указанная в миграционной карте);0;0;0;;
Номер миграционной карты;0;0;0;;
Согласны ли Вы на переезд? (_Да/Нет_);0;0;0;;((Д|д)а|(Н|н)ет)
Являетесь ли Вы человеком с инвалидностью?;1;1;0;;
Укажите группу Вашей инвалидности;1;0;0;;
Заполнить данные по первому ребенку, если он приехал c вами;3;1;0;;
ФИО первого ребенка;3;0;0;;
Дата рождения первого ребенка (в формате _31.12.1999_);3;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания первого ребенка в Украине  (область, район, город, нас.пункт, улица, дом, квартира);3;0;0;;
Номер миграционной карты первого ребенка;3;0;0;;
Ваш первый ребенок с инвалидностью? (_Да/Нет_);3;0;0;;((Д|д)а|(Н|н)ет)
Если да, то укажите группу инвалидности первого ребенка или поставьте прочерк `-`;3;0;0;;
Заполнить данные по второму ребенку, если он приехал c вами;4;1;0;;
ФИО второго ребенка;4;0;0;;
Дата рождения второго ребенка (в формате _31.12.1999_);4;0;0;;^([0-2]?[1-9]|[1-3][01])\.(0?[1-9]|1[0-2])\.\d{4}$
Адрес проживания второго ребенка в Украине  (область, район, город, нас.пункт, улица, дом, квартира);4;0;0;;
Номер миграционной карты второго ребенка;4;0;0;;
